Expr1	Expr2	Expr3
10	20	0720
10	74	0360
20	10	0720
20	51	0830
21	51	0804
22	51	0960
22	53	0930
22	55	0955
22	56	0950
23	53	0936
24	51	0840
41	62	0670
43	43	0609
43	55	0790
43	81	0793
44	72	0591
44	78	0523
50	72	0591
50	78	0520
51	20	0830
51	21	0804
51	22	0960
51	24	0840
51	54	0820
51	56	0834
51	80	0681
52	53	0970
52	72	0620
52	73	0760
52	75	0703
53	22	0930
53	23	0936
53	52	0970
53	55	0940
53	72	0660
54	51	0820
54	56	0890
54	80	0642
54	81	0610
55	22	0955
55	43	0790
55	44	0921
55	53	0940
55	56	0880
55	72	0711
55	78	0730
55	81	0796
56	22	0950
56	51	0834
56	54	0890
56	55	0880
56	81	0616
60	70	0395
62	41	0670
62	72	0671
64	83	0564
65	72	0676
65	73	0350
65	80	0469
70	60	0395
70	87	0165
71	87	0290
71	94	0280
72	44	0591
72	50	0591
72	52	0620
72	53	0660
72	55	0711
72	62	0671
72	65	0676
72	73	0350
72	78	0501
73	52	0760
73	65	0350
73	75	0512
74	10	0360
74	51	0135
74	76	0540
74	80	0022
74	86	0030
75	52	0703
75	73	0512
76	74	0540
78	44	0523
78	50	0520
78	55	0730
78	72	0501
78	79	0550
79	78	0550
79	81	0440
79	83	0310
80	51	0681
80	54	0642
80	68	0469
80	74	0022
80	81	0460
80	82	0580
80	84	0410
80	85	0491
80	86	0023
80	87	0470
80	88	0450
81	43	0793
81	54	0610
81	55	0796
81	56	0616
81	79	0440
81	80	0460
81	83	0330
81	85	0270
82	80	0580
82	87	0235
82	88	0340
83	64	0564
83	79	0310
83	81	0330
83	85	0320
83	87	0240
84	80	0410
84	88	0301
85	80	0491
85	81	0270
85	83	0320
85	85	0380
85	87	0100
86	74	0030
86	80	0023
87	70	0065
87	71	0290
87	80	0470
87	82	0235
87	83	0240
87	85	0100
87	88	0210
88	80	0450
88	82	0340
88	84	0301
88	87	0210
94	71	0280
		
